episode,reward,moves,checks,mates
411,-5.21,150,0,0
412,-1.72,46,1,0
413,-3.75,117,0,0
414,-2.27,65,0,0
415,-2.73,54,0,0
416,-3.95,90,1,0
417,-4.14,113,0,0
418,-1.79,42,0,0
419,-2.92,74,1,0
420,-1.1,8,0,0
421,-3.9,150,1,0
422,-2.45,71,1,0
423,-1.65,51,0,0
424,-1.69,33,0,0
425,-1.89,43,0,0
426,-2.67,124,0,0
427,-1.53,61,1,0
428,-1.69,30,0,0
429,-1.39,62,1,0
430,-2.58,57,0,0
431,-4.14,150,0,0
432,-1.28,40,0,0
433,-3.35,150,1,0
434,-4.21,150,0,0
435,-1.34,15,1,0
436,-1.93,74,0,0
437,-3.63,131,2,0
438,-4.2,150,1,0
439,-2.36,143,1,0
440,-1.14,4,0,0
441,-3.06,79,0,0
442,-1.19,40,1,0
443,-1.19,38,0,0
444,-2.56,68,0,0
445,-2.86,106,1,0
446,-2.15,45,1,0
447,-2.47,44,0,0
448,-1.26,20,0,0
449,-2.59,55,0,0
450,-1.46,25,0,0
451,-0.86,48,0,0
452,-2.38,137,0,0
453,-3.61,82,0,0
454,-2.88,150,0,0
455,-5.08,150,1,0
456,-3.56,92,3,0
457,-1.07,2,0,0
458,-5.05,132,0,0
459,-1.81,92,1,0
460,-2.01,86,0,0
461,-2.4,42,0,0
462,-1.71,58,1,0
463,-4.74,150,0,0
464,-1.46,22,0,0
465,-2.28,133,0,0
466,-2.17,79,0,0
467,-2.6,117,1,0
468,-1.45,38,0,0
469,-5.69,150,0,0
470,-5.29,144,1,0
471,-4.27,110,1,0
472,-2.55,74,2,0
473,-1.49,46,0,0
474,-1.26,12,0,0
475,-3.06,81,0,0
476,-2.17,73,0,0
477,-4.93,126,0,0
478,-2.91,102,0,0
479,-3.01,61,0,0
480,-3.05,93,0,0
481,-2.47,66,0,0
482,-2.6,150,0,0
483,-2.94,146,1,0
484,-1.11,6,0,0
485,-1.98,115,0,0
486,-2.36,70,0,0
487,-4.1,132,0,0
488,-2.9,70,0,0
489,-2.73,133,0,0
490,-3.7,150,0,0
491,-6.03,150,1,0
492,-1.28,35,0,0
493,-1.67,85,0,0
494,-4.08,146,1,0
495,-3.23,142,0,0
496,-3.38,70,0,0
497,-3.03,150,0,0
498,-1.81,39,1,0
499,-2.14,140,1,0
500,-3.78,146,0,0
501,-1.53,58,0,0
502,-2.92,55,1,0
503,-2.77,116,0,0
504,-2.2,87,0,0
505,-5.66,125,0,0
506,-1.29,41,1,0
507,-1.34,43,1,0
508,-1.53,39,0,0
509,-1.75,30,0,0
510,-1.66,60,0,0
511,-3.33,101,0,0
512,-2.28,75,1,0
513,-2.44,121,0,0
514,-3.96,150,1,0
515,-5.29,150,0,0
516,-1.99,85,0,0
517,-4.23,139,0,0
518,-3.55,87,0,0
519,-2.64,111,0,0
520,-1.58,43,1,0
521,-1.36,34,0,0
522,-4.48,94,0,0
523,-1.08,11,0,0
524,-1.43,44,0,0
525,-0.52,43,2,0
526,-1.1,15,1,0
527,-1.94,46,0,0
528,-4.0,150,1,0
529,-2.1,40,0,0
530,-1.11,8,0,0
531,-2.8,70,0,0
532,-1.22,48,0,0
533,-0.88,42,0,0
534,-1.1,23,0,0
535,-5.21,150,0,0
536,-2.72,101,2,0
537,-1.01,32,0,0
538,-4.35,106,5,0
539,-2.58,57,0,0
540,-1.41,44,0,0
541,-1.94,45,2,0
542,-1.17,7,0,0
543,-4.4,150,2,0
544,-1.57,41,0,0
545,-2.4,57,0,0
546,-3.13,79,0,0
547,-2.22,64,1,0
548,-1.72,54,0,0
549,-3.76,144,0,0
550,-4.44,150,1,0
551,-4.0,117,1,0
552,-2.36,112,0,0
553,-2.72,65,0,0
554,-1.56,32,0,0
555,-3.35,150,3,0
556,-1.47,43,0,0
557,-0.29,17,0,0
558,-3.4,150,1,0
559,-3.16,126,0,0
560,-2.41,66,0,0
561,-2.51,98,0,0
562,-1.33,24,0,0
563,-4.99,108,1,0
564,-5.57,105,1,0
565,-3.51,134,0,0
566,-1.8,32,0,0
567,1.03,32,3,1
568,-5.47,150,0,0
569,-1.34,74,0,0
570,-5.2,150,0,0
571,-1.46,50,0,0
572,-0.67,28,0,0
573,-1.41,76,2,0
574,-3.79,144,2,0
575,-4.61,150,0,0
576,-1.22,24,0,0
577,-4.95,150,0,0
578,-5.0,113,1,0
579,-5.55,150,0,0
580,-4.88,150,0,0
581,-4.09,96,0,0
582,-1.51,85,0,0
583,-1.42,87,0,0
584,-1.15,5,0,0
585,-1.3,62,0,0
586,-1.41,31,0,0
587,-1.74,42,0,0
588,-2.07,130,1,0
589,-2.88,125,0,0
590,-1.24,15,0,0
591,-3.06,130,0,0
592,-1.16,47,0,0
593,-5.96,150,0,0
594,-0.7,38,0,0
595,-2.41,61,0,0
596,-2.65,82,0,0
597,-1.98,150,0,0
598,-1.96,73,2,0
599,-2.48,70,0,0
600,-5.26,150,0,0
601,-2.37,84,0,0
602,-3.92,150,0,0
603,-2.94,150,0,0
604,-1.27,17,0,0
605,-2.01,47,1,0
606,-4.62,147,0,0
607,-2.4,142,1,0
